0,4,2
80,1,2
120,4,1
160,3,3
200,1,2
240,3,1
280,2,2
320,4,1
360,3,4
400,3,2
440,1,2
480,4,3
520,3,2
560,4,3
600,1,2
640,1,1
680,1,4
720,1,1
760,3,3
800,2,1
840,1,2
880,3,2
960,2,4
1000,3,1
1040,4,1
1080,1,2
1120,1,3
1160,1,2
1200,2,1
1240,3,2
1280,4,4
1320,1,3
1360,1,1
1400,1,2
1440,2,4
1480,3,4
1520,4,4
1560,1,3
1600,1,4
1640,1,4
1680,1,4
1720,3,3
1760,3,3
1800,2,2
1840,2,3
1880,1,2
1920,1,1
1960,3,1
2000,3,2
2040,4,1
2080,3,3
2120,2,3
2160,3,3
2200,4,2
2240,3,2
2280,1,3
2320,1,3
2360,1,3
2400,3,3
2440,3,2
2480,2,3
2520,3,4
2560,3,2
2600,1,2
2640,1,1
2680,1,4
2720,3,2
2760,4,4
2800,4,1
2840,4,1
2880,4,2
2920,1,1
2960,2,2
3000,2,2
3040,4,1
3080,3,4
3120,2,1
3160,2,3
3200,1,3
3240,1,3
3280,1,3
3320,3,2
3360,3,3
3400,3,2
3440,1,2
3480,3,2
3520,1,2
3560,3,2
3600,3,1
3640,2,1
3680,2,1
3720,3,1
3760,4,1
3800,1,1
3840,1,1
3880,1,2
3920,4,4
3960,1,4
4000,4,2
4040,4,3
4080,2,2
4120,2,3
4160,2,3
4200,2,2
4240,2,2
4280,3,4
4320,3,2
4360,2,2
4400,3,1
4440,4,2
4480,4,4
4520,2,2
4560,1,2
4600,2,3
4640,1,1
4680,2,2
4720,2,2
4760,2,1
4800,1,4
4840,4,4
4880,4,1
4920,3,1
4960,2,1
5000,2,1
5040,4,4
5080,4,1
5120,4,1
5160,4,2
5200,4,4
5240,4,1
5280,4,1
5320,4,1
5320,4,1
5360,4,2
5400,1,1
5440,1,1
5480,3,1
5520,2,1
5560,4,4
5600,2,1
5640,4,1
5680,4,4
5720,4,4
5760,4,2
5800,4,2
5840,1,2
5880,4,1
5920,4,4
5960,4,4
6000,2,1
6040,2,3
6080,2,3
6120,1,2
6160,3,3
6200,3,2
6240,4,2
6280,2,3
6320,2,4
6360,2,2
6400,3,1
6440,3,1
6480,3,2
6520,2,2
6560,1,1
6600,4,4
6640,3,1
6680,3,2
6720,3,1
6760,3,3
6800,2,4
6840,4,2
6880,4,4
6920,3,2
6960,3,1
7000,2,1
7040,2,4
7080,2,2
7120,2,2
7160,1,1
7200,3,3
7240,3,1
7280,1,2
7320,4,4
7360,2,2
7400,2,2
7440,1,3
7480,4,4
7520,3,2
7560,3,3
7600,3,3
7640,2,1
7680,2,1
7720,4,4
7760,3,2
7800,3,3
7840,3,1
7880,3,2
7920,4,1
7960,3,1
8000,4,1
8040,1,1
8080,4,1
8120,4,1
8160,4,2
8200,2,2
8240,4,4
8280,3,2
8320,3,4
8360,4,4
8400,3,3
8440,3,1
8480,3,2
8520,3,2
8560,3,2
8600,3,2
8640,3,1
8680,3,1
8720,3,2
8760,3,2
8800,4,4
8840,4,4
8880,2,1
8920,2,1
8960,3,1
9000,3,4
9040,4,1
9080,1,2
9120,1,2
9160,1,2
9200,4,4
9240,4,4
9280,3,1
9320,3,2
9360,3,4
9400,4,4
9440,4,2
9480,3,2
9520,1,3
9560,3,2
9600,1,3
9640,3,3
9680,4,4
9720,1,2
9760,4,4
9800,1,4
9840,1,3
9880,1,3
9920,4,4
9960,1,1
10000,2,1
10040,4,1
10080,3,1
10120,4,1
10160,4,4
10200,2,2
10240,2,2
10280,3,1
10320,4,1
10360,4,1
10400,4,4
10440,3,1
10480,2,1
10520,2,1
10560,2,1
10600,4,1
10640,4,4
10680,2,1
10720,2,2
10760,1,2
10800,1,2
10840,4,2
10880,4,4
10920,4,3
10960,3,2
11000,3,4
11040,4,1
11080,4,1
11120,2,2
11160,1,2
11200,3,4
11240,3,2
11280,2,3
11320,2,2
11360,1,3
11400,1,1
11440,3,4
11480,1,2
11520,1,2
11560,3,1
11600,4,4
11640,2,4
11680,1,3
11720,4,3
11760,1,3
11800,2,3
11840,2,2
11880,2,3
11920,2,3
11960,1,3
12000,4,2
12040,3,2
12080,2,2
12120,2,2
12160,3,4
12200,2,1
12240,3,4
12280,3,3
12320,3,4
12360,3,2
12400,1,3
12440,4,4
12480,3,4
12520,2,2
12560,2,2
12600,2,3
12640,3,2
12680,2,1
12720,2,2
12760,3,4
12800,3,4
12840,3,2
12880,1,4
12920,1,3
12960,3,2
13000,4,4
13040,3,3
13080,2,3
13120,3,3
13160,2,3
13200,2,1
13240,3,1
13280,4,4
13360,4,2
13400,1,3
13440,4,4
13480,2,1
13520,2,3
13560,3,4
13600,3,3
13640,4,4
13680,3,4
13720,2,2
13760,2,1
13800,2,2
13840,4,4
13880,1,2
13920,2,4
13960,2,1
14000,1,1
